Neighborhood,IncomeEstimate,IncomeScore
Squirrel Hill South,659886300.0,0.9999999999999999
Shadyside,605635700.0,0.9174891676262406
Squirrel Hill North,577467500.0,0.8746475837825498
Brookline,366945900.0,0.5544610337968237
Point Breeze,314958500.0,0.4753923479768035
Mount Washington,267100700.0,0.40260445413642376
Bloomfield,249898900.0,0.3764418893661367
Highland Park,242405400.0,0.3650448739894816
Greenfield,241377900.0,0.3634821285034586
South Side Flats,233098400.0,0.3508896698645027
Carrick,221221100.0,0.3328252445981858
Central Business District,210460000.0,0.3164584704379505
Brighton Heights,201692800.0,0.30312425902669926
Beechview,193055900.0,0.28998822351503817
Central Lawrenceville,144917900.0,0.21677416783992984
Banksville,138084700.0,0.20638141605881824
Stanton Heights,134047100.0,0.20024054873583394
South Side Slopes,123648400.0,0.18442495604920905
North Oakland,123408700.0,0.18406039148181275
East Liberty,115711700.0,0.17235386884831513
Perry North,104107900.0,0.1547054152515138
Sheraden,101081700.0,0.15010280659963768
Central Northside,96353500.0,0.14291159179962423
Westwood,91857100.0,0.13607292629757683
Strip District,91738300.0,0.13589224098006877
Duquesne Heights,91613300.0,0.13570212595743825
Lincoln-Lemington-Belmar,91032900.0,0.13481938388436016
Overbrook,90146300.0,0.13347093605184635
Crafton Heights,89278600.0,0.13215123361075423
Morningside,87871100.0,0.13001053845593444
Lincoln Place,84551900.0,0.12496230019101236
Troy Hill,77521600.0,0.11426977504221694
Hazelwood,75829000.0,0.11169546554378144
Marshall-Shadeland,68871800.0,0.10111411966022035
Garfield,67632800.0,0.09922969955590652
Upper Lawrenceville,65738500.0,0.09634862045695439
Lower Lawrenceville,63562900.0,0.0930397065110745
Knoxville,60537300.0,0.08843801041130701
Point Breeze North,59572300.0,0.0869703224365993
East Allegheny,56433100.0,0.08219584980426518
Central Oakland,55528300.0,0.08081972122445634
Perry South,54989600.0,0.0800004015229278
Manchester,54372200.0,0.07906138540315108
Regent Square,52288700.0,0.07589254820594538
South Oakland,47722300.0,0.06894741829122489
Friendship,47475400.0,0.06857190309852507
Spring Hill-City View,46688500.0,0.06737509100806134
Elliott,43215900.0,0.06209354358736705
Swisshelm Park,43095600.0,0.06191057688958743
East Hills,41528200.0,0.05952668659781866
Summer Hill,40337500.0,0.05771572693824927
Allegheny Center,39947000.0,0.057121807607551485
Upper Hill,39512800.0,0.05646142406494207
Polish Hill,38888900.0,0.055512521963988565
Allentown,38303700.0,0.05462247947404146
Homewood North,37727300.0,0.05374582108168756
Arlington,35349900.0,0.05012998544327294
Windgap,34609300.0,0.04900359195719157
Crawford-Roberts,34226600.0,0.04842153580390594
Fairywood,33908400.0,0.04793757900229765
Homewood South,29434400.0,0.041132982112305656
Beltzhoover,28121300.0,0.039135861822576445
Middle Hill,27566200.0,0.03829159903007878
New Homestead,27062600.0,0.03752566362690489
Fineview,25475500.0,0.03511181120756956
Oakwood,25014900.0,0.03441127537218057
Allegheny West,23793300.0,0.03255331927901691
Bon Air,22093100.0,0.02996745078720547
Larimer,18139300.0,0.0239540365753927
Terrace Village,16879300.0,0.02203767714727694
West Oakland,16339500.0,0.021216684433549248
Spring Garden,15833800.0,0.02044755509799517
East Carnegie,14945000.0,0.019095761241083035
Mt. Oliver,13962700.0,0.017601761347243266
Chartiers City,13805200.0,0.017362216418728794
North Shore,12397000.0,0.015220456619782274
Homewood West,11290000.0,0.013536797979366286
Bluff,11005200.0,0.013103639911804882
California-Kirkbride,10718900.0,0.01266820046397191
Bedford Dwellings,10529100.0,0.012379529813609711
Northview Heights,8755000.0,0.009681265320419099
Ridgemont,7893900.0,0.008371600952521891
Hays,6432200.0,0.006148471923889505
Esplen,5433900.0,0.004630137307153024
Glen Hazel,4773300.0,0.0036254174355551897
St. Clair,3867600.0,0.0022479200275834083
West End,3615800.0,0.0018649523259964655
Arlington Heights,2389600.0,0.0
