hood,SignAmount
Central Oakland,1327
North Oakland,1743
West Oakland,486
Crawford-Roberts,784
Strip District,1366
Central Business District,3491
Spring Hill-City View,355
Perry South,825
Summer Hill,256
Northview Heights,74
Westwood,383
Beltzhoover,697
Central Lawrenceville,1970
South Side Flats,3672
Allentown,575
South Side Slopes,1175
Bluff,978
Fineview,217
Hazelwood,1300
Lincoln-Lemington-Belmar,487
East Hills,291
South Oakland,1049
Mount Washington,1630
Greenfield,1048
Squirrel Hill South,3281
Central Northside,1251
Spring Garden,239
Troy Hill,604
East Allegheny,1066
Stanton Heights,531
Lower Lawrenceville,1024
Bloomfield,3627
Carrick,2044
Point Breeze,1284
Duquesne Heights,452
Swisshelm Park,173
Highland Park,1490
Garfield,848
Manchester,790
Upper Lawrenceville,727
Beechview,1397
Brookline,2256
Morningside,780
Larimer,512
North Shore,1053
Bon Air,205
Banksville,358
Windgap,178
Friendship,456
Arlington,341
St. Clair,64
Mt. Oliver,100
Sheraden,896
South Shore,150
Allegheny West,466
Elliott,547
Shadyside,3370
Knoxville,750
Allegheny Center,598
Brighton Heights,903
Crafton Heights,470
Polish Hill,349
Chateau,405
Arlington Heights,21
Squirrel Hill North,1895
Terrace Village,306
Bedford Dwellings,129
Regent Square,308
Hays,215
Point Breeze North,608
Marshall-Shadeland,789
Lincoln Place,559
Overbrook,712
Homewood South,999
Homewood North,643
Homewood West,248
Oakwood,118
East Liberty,1759
East Carnegie,122
New Homestead,118
Upper Hill,631
Middle Hill,562
Esplen,98
Fairywood,141
Chartiers City,44
Ridgemont,62
West End,238
California-Kirkbride,183
Glen Hazel,38
Perry North,813
