hood,SignAmount,TrafficScore
Central Oakland,1327,0.6422897836209258
North Oakland,1743,0.5283483976992605
West Oakland,486,0.8726376335250616
Crawford-Roberts,784,0.7910161599561764
Strip District,1366,0.6316077786907697
Central Business District,3491,0.04957545877841696
Spring Hill-City View,355,0.9085182141878937
Perry South,825,0.7797863599013969
Summer Hill,256,0.9356340728567516
Northview Heights,74,0.9854834291974801
Westwood,383,0.9008490824431663
Beltzhoover,697,0.8148452478772938
Central Lawrenceville,1970,0.4661736510545057
South Side Flats,3672,1.1102230246251565e-16
Allentown,575,0.8482607504793207
South Side Slopes,1175,0.6839222130923035
Bluff,978,0.7378800328677075
Fineview,217,0.9463160777869077
Hazelwood,1300,0.6496850178033415
Lincoln-Lemington-Belmar,487,0.87236373596275
East Hills,291,0.9260476581758422
South Oakland,1049,0.7184333059435771
Mount Washington,1630,0.5592988222404821
Greenfield,1048,0.7187072035058888
Squirrel Hill South,3281,0.10709394686387297
Central Northside,1251,0.6631059983566147
Spring Garden,239,0.9402903314160505
Troy Hill,604,0.8403177211722815
East Allegheny,1066,0.7137770473842784
Stanton Heights,531,0.8603122432210353
Lower Lawrenceville,1024,0.7252807450013695
Bloomfield,3627,0.012325390304026351
Carrick,2044,0.4459052314434402
Point Breeze,1284,0.6540673788003287
Duquesne Heights,452,0.8819501506436593
Swisshelm Park,173,0.9583675705286223
Highland Park,1490,0.5976444809641195
Garfield,848,0.7734867159682279
Manchester,790,0.7893727745823063
Upper Lawrenceville,727,0.806628321007943
Beechview,1397,0.6231169542591071
Brookline,2256,0.38783894823336074
Morningside,780,0.7921117502054231
Larimer,512,0.8655162969049576
North Shore,1053,0.7173377156943304
Bon Air,205,0.949602848534648
Banksville,358,0.9076965215009587
Windgap,178,0.9569980827170638
Friendship,456,0.8808545603944125
Arlington,341,0.9123527800602574
St. Clair,64,0.9882224048205971
Mt. Oliver,100,0.978362092577376
Sheraden,896,0.7603396329772665
South Shore,150,0.9646672144617913
Allegheny West,466,0.8781155847712956
Elliott,547,0.8559298822240482
Shadyside,3370,0.08271706381813204
Knoxville,750,0.8003286770747741
Allegheny Center,598,0.8419611065461517
Brighton Heights,903,0.7584223500410846
Crafton Heights,470,0.8770199945220488
Polish Hill,349,0.9101615995617639
Chateau,405,0.894823336072309
Arlington Heights,21,1.0
Squirrel Hill North,1895,0.48671596822788277
Terrace Village,306,0.9219391947411668
Bedford Dwellings,129,0.9704190632703369
Regent Square,308,0.9213913996165435
Hays,215,0.9468638729115311
Point Breeze North,608,0.8392221309230348
Marshall-Shadeland,789,0.7896466721446179
Lincoln Place,559,0.8526431114763079
Overbrook,712,0.8107367844426184
Homewood South,999,0.7321281840591619
Homewood North,643,0.8296357162421255
Homewood West,248,0.9378252533552451
Oakwood,118,0.9734319364557655
East Liberty,1759,0.5239660367022734
East Carnegie,122,0.9723363462065188
New Homestead,118,0.9734319364557655
Upper Hill,631,0.8329224869898658
Middle Hill,562,0.8518214187893728
Esplen,98,0.9789098877019995
Fairywood,141,0.9671322925225966
Chartiers City,44,0.993700356066831
Ridgemont,62,0.9887701999452205
West End,238,0.9405642289783621
California-Kirkbride,183,0.9556285949055053
Glen Hazel,38,0.9953437414407011
Perry North,813,0.7830731306491372
