hood,SafetyScore
Point Breeze North,0.9342224231464737
Squirrel Hill North,0.859629294755877
Garfield,0.8612115732368897
Bedford Dwellings,0.9043851717902351
Knoxville,0.755877034358047
Homewood South,0.7325949367088608
Middle Hill,0.840867992766727
Oakwood,0.976491862567812
North Oakland,0.8551084990958409
Duquesne Heights,0.9491410488245932
Glen Hazel,0.983499095840868
East Liberty,0.6977848101265822
Westwood,0.9556962025316456
Morningside,0.9414556962025317
Lincoln Place,0.944620253164557
Perry North,0.8924050632911392
Northview Heights,0.9287974683544304
Homewood North,0.7425406871609403
Arlington Heights,0.9864376130198915
Lower Lawrenceville,0.9093580470162749
Larimer,0.876130198915009
Lincoln-Lemington-Belmar,0.7068264014466547
Bluff,0.7753164556962026
Fairywood,0.9737793851717902
Brookline,0.6505424954792043
Hays,0.9839511754068716
Beltzhoover,0.9134267631103075
Greenfield,0.8406419529837251
East Carnegie,1.0
North Shore,0.8725135623869801
Allentown,0.8236889692585896
Bon Air,0.9688065099457505
Allegheny West,0.968128390596745
Crafton Heights,0.8801989150090416
Manchester,0.8114828209764919
Marshall-Shadeland,0.7687613019891502
Highland Park,0.8790687160940326
New Homestead,0.9975135623869801
Central Northside,0.7793851717902351
Polish Hill,0.9538878842676312
Overbrook,0.9111663652802894
Friendship,0.9708408679927667
Homewood West,0.9491410488245932
Central Business District,0.0
East Allegheny,0.7391500904159132
Allegheny Center,0.919755877034358
Central Oakland,0.8471971066907775
Brighton Heights,0.7732820976491863
South Side Slopes,0.851491862567812
Arlington,0.9113924050632911
Chartiers City,0.9909584086799277
Carrick,0.5192133815551537
Bloomfield,0.7070524412296564
Banksville,0.929249547920434
Mount Washington,0.6577757685352622
East Hills,0.8345388788426763
Central Lawrenceville,0.8340867992766727
West End,0.983499095840868
Esplen,0.9624773960216998
Point Breeze,0.8806509945750453
Hazelwood,0.7750904159132007
Crawford-Roberts,0.775994575045208
South Oakland,0.902124773960217
Upper Hill,0.9206600361663653
Ridgemont,0.9986437613019892
Troy Hill,0.9093580470162749
South Shore,0.9570524412296564
Mt. Oliver,0.9855334538878843
California-Kirkbride,0.9086799276672695
Spring Hill-City View,0.9028028933092225
Sheraden,0.742992766726944
Stanton Heights,0.9353526220614828
Beechview,0.7506781193490054
St. Clair,0.9963833634719711
Chateau,0.9749095840867993
Shadyside,0.6360759493670887
Summer Hill,0.9925406871609403
West Oakland,0.9414556962025317
Windgap,0.974005424954792
Spring Garden,0.9726491862567812
Squirrel Hill South,0.6656871609403254
Strip District,0.8225587703435805
Swisshelm Park,0.9932188065099458
Perry South,0.8128390596745028
Upper Lawrenceville,0.939873417721519
Regent Square,0.9839511754068716
Terrace Village,0.9380650994575045
Elliott,0.8853978300180831
South Side Flats,0.27169981916817354
Fineview,0.9613471971066908
